SCRIPT_SECTION,DISTANCE_TIER,CHARACTER,MATCH_COUNT
334,1,LEIA,256
210,2,HAN,104
455,5,REY,51
455,5,COLONEL DATOO,104
76,5,GENERAL HUX,32
76,5,FINN,326
256,3,FINN,112
132,0,REY,64
326,1,LEIA,451
274,1,REY,133
274,1,FINN,407
243,0,HAN,542
303,3,KYLO REN,16
304,3,KYLO REN,96
262,3,FINN,492
273,0,FINN,849
193,4,HAN,218
461,2,C-3PO,95
331,1,HAN,162
201,0,SNOKE,4
201,0,GENERAL HUX,131
202,3,SNOKE,98
288,1,GENERAL HUX,537
288,2,GENERAL HUX,592
16,5,LOR SAN TEKKA,60
157,3,REY,429
30,4,KYLO REN,67
291,3,HAN,59
310,2,HAN,77
361,1,SNOKE,201
362,1,SNOKE,91
351,5,KYLO REN,33
29,5,REY,41
212,1,HAN,47
212,1,FINN,28
386,1,LEIA,74
386,1,HAN,286
441,2,KYLO REN,1116
18,2,KYLO REN,60
465,1,REY,567
465,2,REY,471
226,4,FINN,283
269,5,FINN,423
264,1,REY,536
309,1,C-3PO,29
309,1,HAN,11
310,1,HAN,52
310,2,LEIA,11
64,2,POE,241
335,2,LEIA,190
424,3,REY,775
268,5,FINN,110
268,5,REY,135
345,4,KYLO REN,141
345,4,REY,104
16,3,KYLO REN,2065
264,3,REY,196
265,3,REY,249
315,3,POE,247
315,0,POE,1175
316,0,POE,371
126,4,REY,908
380,3,FINN,641
380,3,HAN,344
382,4,POE,28
322,1,LEIA,727
189,0,HAN,833
65,1,POE,201
121,4,LIEUTENANT MITAKA,38
205,3,KYLO REN,264
201,1,GENERAL HUX,120
202,1,SNOKE,165
240,2,HAN,77
181,1,HAN,113
280,1,MAZ,176
396,2,FINN,111
397,2,FINN,78
397,2,HAN,345
15,4,LOR SAN TEKKA,33
41,3,STORMTROOPER,969
29,2,REY,349
11,3,POE,38
357,2,SNOKE,243
386,4,HAN,388
274,0,REY,81
274,0,FINN,252
465,3,REY,274
458,1,SNOKE,259
261,3,FINN,540
347,1,KYLO REN,162
395,2,KYLO REN,285
2,3,Intro Text,78
29,4,KYLO REN,41
116,1,REY,77
357,0,SNOKE,844
267,0,REY,742
69,2,FINN,480
86,0,REY,411
11,4,POE,38
282,4,MAZ,66
352,3,KYLO REN,302
46,4,POE,33
440,4,HAN,103
340,2,LEIA,297
341,2,LEIA,41
211,5,HAN,62
327,0,LEIA,40
327,0,HAN,5
327,1,HAN,35
160,2,HAN,117
267,4,REY,1192
267,4,FINN,183
406,3,FINN,504
177,2,HAN,29
302,5,KYLO REN,28
251,1,MAZ,28
252,1,MAZ,15
313,2,POE,103
